archivo,Acel_1_media,Acel_1_maximo,Acel_1_desviacion,Acel_2_media,Acel_2_maximo,Acel_2_desviacion,Acel_3_media,Acel_3_maximo,Acel_3_desviacion,Acel_4_media,Acel_4_maximo,Acel_4_desviacion,Acel_5_media,Acel_5_maximo,Acel_5_desviacion,Acel_6_media,Acel_6_maximo,Acel_6_desviacion,Acel_7_media,Acel_7_maximo,Acel_7_desviacion,Acel_8_media,Acel_8_maximo,Acel_8_desviacion,Acel_9_media,Acel_9_maximo,Acel_9_desviacion,Acel_10_media,Acel_10_maximo,Acel_10_desviacion,Acel_11_media,Acel_11_maximo,Acel_11_desviacion,Acel_12_media,Acel_12_maximo,Acel_12_desviacion,Acel_13_media,Acel_13_maximo,Acel_13_desviacion,Acel_14_media,Acel_14_maximo,Acel_14_desviacion,Acel_15_media,Acel_15_maximo,Acel_15_desviacion,Acel_16_media,Acel_16_maximo,Acel_16_desviacion,Acel_17_media,Acel_17_maximo,Acel_17_desviacion,Acel_18_media,Acel_18_maximo,Acel_18_desviacion,Acel_19_media,Acel_19_maximo,Acel_19_desviacion,Acel_20_media,Acel_20_maximo,Acel_20_desviacion,Acel_21_media,Acel_21_maximo,Acel_21_desviacion,Acel_22_media,Acel_22_maximo,Acel_22_desviacion
V1-01.08.2024-C1NS.M07.csv,-0.04473493100944081,0.611111111111111,0.4123634366868494,0.011492189468380012,0.7833333333333333,0.33316533298993245,0.035511982570806094,0.8333333333333334,0.3198623375646692,-0.1292330917874396,1.0222222222222221,0.582724292465573,0.1636950904392765,1.0166666666666666,0.4604314015097844,-0.0058213716108452915,1.1111111111111112,0.579355244333961,-0.08080908289241623,1.1277777777777778,0.46944149900891474,-0.010437710437710431,1.138888888888889,0.6908476100066511,0.08326719576719577,1.1333333333333333,0.49501523034560063,0.06579401822457379,1.2222222222222223,0.594979796100765,-0.11053591470258138,0.8444444444444444,0.5093512520855343,0.04268755935422601,0.9888888888888887,0.3728966351519705,0.039373897707231036,2.0833333333333335,0.6578077562305205,0.10113168724279835,0.7037037037037036,0.42137030357374644,-0.061923658352229766,0.9944444444444445,0.5005685455778182,0.02043249959916628,0.8611111111111107,0.46630830396510026,0.0018518518518518615,0.8222222222222222,0.405851273675847,0.01749926804274629,1.0722222222222224,0.4960464012170662,0.11894586894586895,0.6166666666666666,0.23083385187869662,-0.18903619528619534,0.8111111111111111,0.511007329023187,-0.00771073999267146,1.2777777777777777,0.4372080987491394,0,0,0
V1-01.08.2024-C1NS.M31.csv,0.012139917695473257,0.75,0.3680266343073576,0.03792041292041293,1.0722222222222224,0.3692675908548432,0.006740535549399827,0.9777777777777776,0.6183587026088733,-0.11718532442216652,1.0944444444444443,0.5622234586189847,0.24206349206349206,1.1944444444444446,0.5390860966505395,-0.041945914168136395,1.027777777777778,0.8147478990989798,-0.01006944444444444,0.8499999999999994,0.5467081388589804,0.11940035273368606,1.0833333333333335,0.6947059276474522,0.0428984788359788,1.05,0.6071895666214725,-0.1730975723622782,1.038888888888889,0.6151714563148734,0.08750000000000001,0.7666666666666668,0.40072721959800656,0.11092592592592591,1.4722222222222223,0.8140483257527085,-0.05012569130216187,1.0833333333333333,0.6265910197912425,0.14590132090132088,1.05,0.40825573800426146,0.04101851851851854,0.9722222222222223,0.6594531336487301,0.03903703703703705,1.277777777777778,0.6407160243752104,0.07160261765524928,1.2166666666666666,0.6640464479146899,0.013893565282454159,1.75,0.6999915168981621,0.15916666666666668,1.5138888888888893,0.512867335125911,0.0404100529100529,1.0277777777777777,0.5811566373913399,0.010084142173889032,1.3333333333333333,0.40394493507203605,-0.07000000000000002,0.3111111111111111,0.43534717237375875
V1-01.08.2024-C1NS.T10.csv,-0.010694642291864497,1.083333333333333,0.484226352532467,-0.07895622895622895,1.0944444444444446,0.5542453939177655,0.11505291005291005,1.2944444444444445,0.372025463841119,-0.10463154666053215,1.2444444444444447,0.8415396250254481,0.15223765432098765,1.4277777777777778,0.5558226113532043,-0.08112535612535615,1.3,0.7178881846852391,-0.11731481481481484,0.9722222222222221,0.6305543819564121,0.22873176206509538,1.4722222222222219,0.6276552333954939,-0.04821348242400872,1.1,0.6826977136073767,-0.19397759103641457,1.1833333333333333,0.6566653464813157,-0.05039326961369981,0.9777777777777779,0.5107627220070655,-0.072010582010582,0.7611111111111111,0.43638219346035567,0.053316326530612246,1.05,0.3316956984013174,-0.029146537842190016,0.4444444444444445,0.3178975648411282,-0.016666666666666663,1.0166666666666666,0.5269242611179832,0.06720085470085473,1.3333333333333335,0.471487021953781,0.00545460874408243,0.8749999999999999,0.5680225903549363,0.009802737520128784,1.1111111111111112,0.5225678124832158,0.07757936507936508,0.75,0.31266109672102593,0.049344135802469144,2.833333333333333,0.9744629110861506,0.019302679448072815,1.1666666666666667,0.3822963619186443,0,0,0
V1-01.08.2024-C1NS.T81.csv,0.0044069214987582294,1.583333333333334,0.5523067865866829,0.05858585858585859,0.5416666666666666,0.29012240353361224,0.004166376589622204,0.9277777777777777,0.6399683974989385,-0.10867194674012863,1,0.463335246573751,0.06467097717097718,1.0666666666666669,0.8095771469893728,0.04651675485008818,1,0.612909118567775,-0.03983198514448515,1.2333333333333332,0.5472965634162175,0.0015046296296296145,1.0888888888888895,0.7615187597512402,0.033431267806267796,0.9333333333333332,0.4480983653217482,-0.04497897656110217,0.7499999999999999,0.5563616059185241,0.08480847179677589,1.1666666666666667,0.5677803403888373,-0.015512501296815025,0.6666666666666666,0.4051399459004609,0.021111111111111115,0.7777777777777777,0.3820036750610406,0.02691484001007812,1.5694444444444444,0.608554192739397,0.08346560846560848,0.9222222222222222,0.5584873479084898,0.07587844254510921,0.7277777777777779,0.44058236792226796,-0.01903021442495127,0.8277777777777777,0.40749195059999,-0.012453314659197029,1.0555555555555556,0.4901633741619183,0.03360566448801742,0.6180555555555556,0.35939854096361096,0.030199724517906323,0.833333333333333,0.37935676192598256,0.1008858759553204,1.5833333333333335,0.5393838407804641,0,0,0
V1-01.08.2024-C1NS.V12.csv,-0.062499999999999944,0.9722222222222223,0.6526144032780385,-0.049398148148148115,0.7666666666666667,0.5875800947557964,0.19493856837606832,0.833333333333333,0.40289052975137096,-0.13517156862745094,0.6666666666666666,0.6335979275075243,0.05041530501089331,0.7592592592592594,0.714540636252368,0.06553497942386832,0.8,0.6368021102969961,-0.04518849206349206,0.8444444444444444,0.5919070440809262,-0.06029040404040401,0.7277777777777779,0.8613988355092349,-0.014281705948372624,0.7222222222222223,0.45603194285987086,-0.05652116402116402,0.6722222222222222,0.7658917871748094,0.03684864518197854,0.7777777777777779,0.43009337574474965,-0.0031517094017093996,0.5777777777777777,0.5289018565705821,0.051296296296296263,1.2444444444444442,0.524231308325485,-0.020158195713751242,1.4074074074074083,0.6531975202700802,0.016412490922294895,0.9777777777777779,0.47746330303321277,0.04318701417466848,1.1944444444444438,0.4520172506131895,-0.0041666666666666935,0.888888888888889,0.6307171639859678,-0.02463957927225468,1.2222222222222223,0.5224309149507027,0.08743386243386242,0.6111111111111112,0.5764275710181253,-0.014259259259259234,0.6527777777777768,0.6486511464707004,0.035436424469627595,1.2222222222222223,0.5606317496007646,0,0,0
V1-01.08.2024-C1NS.V15.csv,0.018124521072796912,0.8888888888888893,0.3574124097339998,0.0012037037037037248,0.7944444444444445,0.365982238358384,0.08785403050108932,0.6277777777777777,0.2525669574230273,-0.06674382716049383,0.75,0.4647224148610617,0.06886939571150097,0.6611111111111111,0.3365876454244872,0.012896825396825391,0.8055555555555556,0.5488751320272144,-0.05831863609641386,0.6888888888888889,0.36982761769948463,0.20995370370370367,0.6851851851851852,0.3593696136353067,0.02731481481481482,1.1388888888888888,0.6071865461032757,-0.06626064567241038,0.711111111111111,0.512281243116647,-0.01879084967320261,0.5777777777777778,0.3509377997945202,0.012222222222222242,0.5333333333333334,0.29955287079009785,9.221772379667088e-4,0.8944444444444443,0.4566822547590318,0.01093474426807759,0.8388888888888889,0.3870410651313978,0.0015432098765432117,0.6055555555555556,0.368585626880673,0.01440527065527067,0.8388888888888889,0.42538194583733807,-0.016743827160493815,0.7333333333333333,0.3359552629222302,0.035291280864197555,0.9277777777777778,0.4649187652573805,0.09036458333333333,0.5555555555555558,0.17525368792459933,-0.0807621671258035,0.6277777777777778,0.3569994406855627,0.03670960346602942,1.1944444444444442,0.4576673700953764,0,0,0
V1-01.08.2024-C1NS.V42.csv,0.05096634332745443,0.8555555555555555,0.4683978192320259,0.043901420217209705,0.8055555555555556,0.407788083388261,-0.019047619047619056,0.305555555555555,0.2764903008188288,-0.07302188552188552,0.4666666666666666,0.2492018573387902,0.14772727272727273,0.875,0.40784516961630074,0.033888888888888906,0.888888888888889,0.5922999856294785,-0.10590277777777775,0.42222222222222233,0.39546539104503603,0.16888888888888887,0.9444444444444444,0.6773878153617384,0.07204415954415956,0.6481481481481483,0.4116881732675487,-0.06111111111111111,0.22222222222222232,0.22706528130762008,-0.04850471589602024,0.7277777777777779,0.3317722900621407,-0.046440972222222224,0.5777777777777777,0.3242227048385399,0.0031201369436663702,0.8333333333333334,0.3256210279666409,0.06079059829059828,0.9555555555555555,0.44901518102976024,0.00416666666666666,0.9444444444444446,0.6290803332793973,0.018160774410774412,0.5833333333333339,0.22713588679291713,-0.059542181069958816,0.4444444444444443,0.2763489549985902,0.028021442495126683,1.0444444444444443,0.4094677131576401,-0.01518518518518518,0.1833333333333332,0.12179699960297415,-0.06559376837154615,0.5222222222222223,0.3342230868998562,0.0012064684047442683,0.7333333333333332,0.32752338737420356,0,0,0
V1-01.08.2024-C1NS.V43.csv,0.07459022852639875,1.1944444444444446,0.47928450663638106,-0.03154761904761905,0.7166666666666667,0.4175234380376879,0.13498263888888903,0.8472222222222221,0.4069456196260367,-0.10956558061821219,0.7944444444444445,0.5116579579280512,0.1469135802469136,0.8833333333333334,0.570217030855,0.08769290123456792,0.9305555555555556,0.7590507120291287,-0.08585858585858587,0.888888888888889,0.5398786178619019,0.21296296296296297,0.7611111111111113,0.5670840873626396,0.03518518518518518,0.8444444444444443,0.5327455374817293,-0.12101851851851851,0.7833333333333334,0.5547570816187154,-0.02686387686387686,0.9055555555555556,0.53393299421056994,0.033399470899470915,0.8194444444444444,0.5461584721944034,0.0291280864197531,0.9666666666666668,0.4728011200909994,0.006087105624142643,0.7222222222222222,0.4640822714128026,0.09368686868686868,1.0555555555555554,0.5461600233140874,0.013826232247284862,0.7222222222222223,0.4684459195983039,0.010243055555555566,0.8981481481481479,0.42008494535171914,-0.02006944444444443,1.1833333333333333,0.45294871629745964,0.06770833333333334,0.6,0.22381115965292073,-0.06202050264550264,0.4722222222222222,0.38174912872248457,0.025661040501645235,1.0277777777777777,0.36484414034895596,0,0,0
V1-01.08.2024-C1NS.V48.csv,-0.023341946597760555,0.8611111111111113,0.6691960793503542,-0.048882503192848,0.8222222222222222,0.6050874250006213,0.08552631578947367,0.7555555555555555,0.4765557243573554,-0.1383838383838384,0.7222222222222223,0.6301996121565344,0.19022633744855968,0.7944444444444445,0.6174008376987342,0.04859138257575759,0.9259259259259262,0.7585727622150681,-0.13090711031887503,0.8333333333333333,0.6652804551621104,0.2719065656565656,0.7944444444444444,0.7747190529031417,0.04627525252525254,0.8055555555555556,0.564620341202631,-0.1310130718954248,0.6777777777777778,0.7333033331232961,-0.033551198257080625,0.7944444444444443,0.7454583230696897,0.006873219373219345,0.6444444444444445,0.6257473356401898,0.14932870370370374,1.1111111111111112,0.56164073951904,0.001719576719576718,0.7847222222222222,0.6371208055509388,-0.015753690753690743,0.9277777777777778,0.6450350261183837,-0.04153775517411882,0.833333333333333,0.6338874186289165,0.01253561253561247,0.7833333333333334,0.6688651822725995,0.01981231606419014,1.3981481481481488,0.6126973867802901,0.07781408859840233,0.5777777777777777,0.20949816911416966,-0.026790123456790108,0.7777777777777777,0.5688300423172334,0.026456196687062977,0.9305555555555554,0.48443595716899923,0,0,0
V1-01.08.2024-C1NS.V49.csv,-0.049162257495590826,1.3611111111111107,0.6684888100431993,-0.00801667468334135,0.7407407407407408,0.49945434503402886,0.1378110915147952,0.7314814814814815,0.34470672173015365,-0.1279658564814815,0.5462962962962964,0.5923160787461634,0.11982570806100218,1.0833333333333333,0.4830089573795711,-0.014149305555555575,0.8240740740740741,0.9444857723870963,-0.12275132275132275,0.824074074074074,0.6516308269485056,0.3196759259259259,0.7962962962962962,0.46120867472739957,-0.006220322886989562,0.7407407407407408,0.728809898047534,-0.22858796296296305,0.6666666666666669,0.7982491695407294,-0.03760288065843621,0.7222222222222223,0.6027367800275923,-0.03298059964726631,0.722222222222222,0.5807670974530964,0.08946608946608949,1.1481481481481481,0.6372418745873183,-0.061985596707818925,1.0277777777777781,0.7463712548573801,0.1941854441854442,0.9722222222222223,0.4421172108078216,-0.020778697952611006,1.0555555555555554,0.8037509047578288,-0.05009920634920635,0.7314814814814815,0.6401949988476782,0.07081845238095238,1.4166666666666667,0.7915086247014639,0.19701646090534977,0.8888888888888888,0.3035569673739225,-0.11398959836459835,0.7685185185185185,0.7558517595946962,-0.016771710178607065,1.1111111111111107,0.45896990938545523,0,0,0
V2-01.08.2024-C1NS.M07.csv,0.03173400673400673,0.9499999999999995,0.5393414636609007,-0.011769442076347458,0.9277777777777778,0.459398609327635,0.058783068783068784,0.9777777777777779,0.41631887727483113,-0.10798941798941798,0.9666666666666668,0.5410874531729484,0.20180005180005164,1.0611111111111111,0.7333246419680409,-0.0839045698924731,1.1222222222222222,0.81919141139216,-0.05991512345679013,1.1555555555555554,0.6947725452678539,0.2255190796857464,1.0166666666666666,0.5690469533125868,-0.046557271557271566,1.038888888888889,0.8284816018015466,-0.09474527665317138,0.9583333333333335,0.7500512439463018,-0.024814814814814828,1.0555555555555556,0.5327524180884917,-0.037008978675645336,0.9888888888888889,0.5015914763843209,-0.03540448343079922,1.2333333333333334,0.42786551708584786,0.043968253968253955,0.9722222222222221,0.3232021881532874,0.04981366815732141,0.9259259259259259,0.45657696436507145,0.044809996648231966,1.083333333333334,0.7321152247313014,-6.535947712418604e-4,1.4444444444444446,0.5412636761342816,-0.0038289282175151835,0.7500000000000001,0.4312751480025879,0.05330687830687831,0.7222222222222222,0.3089201602119374,-0.1597222222222222,0.8666666666666666,0.6374078474276693,-0.024026478961196265,1.9259259259259263,0.33690440980370234,0,0,0
V2-01.08.2024-C1NS.M31.csv,-0.023461431356168194,0.9666666666666666,0.4252940973329682,-0.004563918757467134,0.7666666666666666,0.41875120142840183,0.08113121345029232,0.7611111111111113,0.31992814283901666,-0.1288131313131313,0.9388888888888888,0.6602233222609871,0.057677708764665284,1.0222222222222224,0.6321623993232391,0.02407059314954055,1.1222222222222222,0.7413957032083878,-0.015882464096749822,0.9777777777777779,0.58445556826202,0.4122017274191186,1.6944444444444446,0.9075476863362694,-0.029864694415778055,1.1,0.6611700303188608,-0.1414133668412134,1.05,0.5966356948157845,0.05124934133554826,1.3333333333333335,0.6547939736918633,-0.09444444444444446,0.8333333333333334,0.5609048025564268,-0.01284301346801348,1.0222222222222221,0.5957796200239561,0.025488199665831244,0.9027777777777779,0.5464231711791457,0.04273504273504273,0.9055555555555553,0.4695752864745081,0.011006054131054127,1.083333333333333,0.5294067580443643,-0.009189597120631597,1.0611111111111111,0.5654135637726373,-0.01154637543526433,1.211111111111111,0.49934862884047304,0.11230709876543209,0.9333333333333332,0.3445195861756723,-0.3424652777777778,0.8944444444444445,1.1975375867487448,0.041441991109061334,1.2314814814814812,0.46103756173091137,0,0,0
V2-01.08.2024-C1NS.T10.csv,-0.006731167614678928,1.0166666666666668,0.393394991060153,-0.004998610242512686,0.9777777777777779,0.3609106465291131,0.08526475694444449,1.027777777777778,0.31462878240362696,-0.10617592592592594,1.1888888888888889,0.6110084509730564,0.12318244170096022,1.2333333333333332,0.5107576265340642,0.012808641975308614,1.2333333333333332,0.7079607468406813,-0.05037301587301592,1.2722222222222226,0.5627367690806248,0.03348450491307632,1.0722222222222222,0.7807543592286518,-0.028258362168396764,0.9944444444444445,0.6496693304899241,-0.14746342981637095,1.1555555555555554,0.612966378611912,-0.006128747795414455,0.9166666666666666,0.5620305140409863,0.008608058608058617,0.6944444444444446,0.4620017814518616,-0.02526822457378011,1.088888888888889,0.5310936696665951,0.0020107323232323197,0.9166666666666666,0.5467385548635144,-0.021095482960274234,1.1722222222222223,0.6601470557711003,-0.02228931830381108,0.8944444444444446,0.47690289178829237,0.03229166666666666,0.7944444444444444,0.4352644953600656,-0.002646072796934883,1.4305555555555556,0.5142015002273483,0.09966049382716048,0.4722222222222222,0.1522003343708927,-0.09429012345679012,0.9388888888888889,0.5291307485123813,0.057327688019652275,1.3888888888888884,0.37577906175914405,0,0,0
V2-01.08.2024-C1NS.T81.csv,0.021152263374485614,1.2777777777777777,0.48256397655818,0.0021269841269841326,0.9055555555555556,0.37765025525415025,0.02105555555555555,0.9222222222222223,0.6439547038481348,-0.08062654320987657,0.9777777777777776,0.6013280190091538,5.3910453070105525e-5,1.261111111111111,0.7245615731660553,0.05842236467236465,0.9555555555555557,0.5942303782134228,-0.03217592592592593,0.8833333333333332,0.4971748092376063,-0.02068794000612183,0.8958333333333333,0.7199710682101476,-0.0576687379932816,0.8722222222222223,0.560193381441776,-0.007868768422401631,0.9055555555555556,0.5941496110675255,0.01944444444444444,0.8444444444444443,0.36709851112804587,0.08634403036576954,0.7777777777777786,0.42879070425317095,-0.03818783068783069,0.8777777777777777,0.42716542676122554,0.015518436242120445,0.6111111111111107,0.25912660796586695,-0.036718749999999994,0.8444444444444444,0.5439050174457727,0.0051399410774410825,0.6041666666666667,0.3158892332223928,0.02554012345679011,0.9305555555555554,0.4124765180286489,-0.05262433862433868,0.9944444444444442,0.3935334370365873,0.08015873015873017,0.49444444444444446,0.2264419269392183,-0.08037367724867725,0.5777777777777778,0.4398426260874127,0.01215690763484881,1.2499999999999996,0.4078932632520905,0,0,0
V2-01.08.2024-C1NS.V12.csv,0.04508244741655235,0.8611111111111116,0.5652023201245409,0.012962962962962963,0.7222222222222221,0.5436837719628457,0.019050802139037395,0.711111111111111,0.6378885950792201,0.1103395061728395,0.7777777777777777,0.5812370368040695,-0.13013468013467994,0.7,0.8236813755333448,0.12507233796296294,0.8888888888888888,0.5740288196441946,0.02307466196355085,0.7499999999999999,0.5315574527437141,0.16423853923853926,0.9444444444444442,0.7634377322479309,-0.020669934640522903,0.65,0.5779961524531876,-0.08359924026590691,0.6851851851851851,0.7289513111336328,-0.009920634920635019,0.6722222222222223,0.5254456183185007,-0.03175154320987653,0.6555555555555556,0.5364214244976407,0.014545177045177021,1.011111111111111,0.445861076014266,0.016258169934640517,0.7777777777777777,0.37051906311917765,-0.05863118191458595,0.75,0.4610856331278555,0.012710437710437724,0.7777777777777777,0.46091326749103534,-0.010763888888888896,0.6277777777777777,0.5596054928368456,0.027689351203444304,1.5,0.7727877347564461,0.17149470899470898,1.8055555555555554,0.6320683642911833,-0.1529417438271605,0.5277777777777777,0.6655869826237126,0.022843067719652898,0.9722222222222223,0.44055119201999904,0,0,0
V2-01.08.2024-C1NS.V15.csv,-0.032033517193400945,1.013888888888889,0.5552946433367419,-0.06477411477411477,0.75,0.4673192757243125,0.13975694444444445,0.6444444444444445,0.27597138343550887,-0.09447616259210463,0.6555555555555556,0.44693381093800455,0.17301587301587298,1.0277777777777777,0.6333178028642277,0.04379340277777776,1.0277777777777777,0.6704584235680916,-0.06037037037037035,0.9444444444444445,0.5515028921414921,0.37656249999999997,0.8194444444444446,0.3802190012636897,-0.023481775426219865,0.6888888888888888,0.5200746189706003,-0.04800809212573919,1.2777777777777777,0.7199012804217976,-0.030158730158730163,0.7833333333333334,0.45908716266923605,-0.010707070707070705,0.6833333333333333,0.5782424417361005,-0.016643323996265173,0.95,0.4159471825854758,0.013311590943169882,0.9629629629629629,0.4013218766479679,0.074088713219148,0.6499999999999999,0.32099039343696106,0.03745408631772269,1.1388888888888888,0.6053797714849657,-0.018518518518518517,0.8777777777777777,0.5542546497191103,-0.01733683811688929,1.0611111111111111,0.5336617097473181,0.11890432098765433,1.0694444444444446,0.32627013132950855,-0.1319616402116402,0.5111111111111111,0.6055366378285764,0.0599981128175353,1.7499999999999996,0.48155737487538935,0,0,0
